round,roundNumber,game,fixtureGame,matchup,player,team,opponent,homeAway,human_vote,modelEV
Round 4,4,6,6,Melbourne v Gold Coast,Jack Steele,Melbourne,Gold Coast,Home,2.0,1.871
Round 7,7,2,2,Richmond v Melbourne,Jack Steele,Melbourne,Richmond,Away,0.5,0.354
Round 23,23,6,6,Port Adelaide v Melbourne,Jack Steele,Melbourne,Port Adelaide,Away,1.0,0.89
Round 3,3,7,7,Carlton v Melbourne,Tom Sparrow,Melbourne,Carlton,Away,0.5,0.365
Round 4,4,6,6,Melbourne v Gold Coast,Tom Sparrow,Melbourne,Gold Coast,Home,0.5,0.365
Round 7,7,2,2,Richmond v Melbourne,Tom Sparrow,Melbourne,Richmond,Away,2.0,1.93
Round 9,9,8,8,Melbourne v West Coast,Tom Sparrow,Melbourne,West Coast,Home,1.0,0.918
Round 10,10,5,5,Melbourne v Hawthorn,Tom Sparrow,Melbourne,Hawthorn,Home,3.0,2.817
Round 17,17,4,4,Hawthorn v Melbourne,Tom Sparrow,Melbourne,Hawthorn,Away,0.5,0.365
Round 18,18,8,8,Melbourne v Richmond,Tom Sparrow,Melbourne,Richmond,Home,1.0,0.918
Round 19,19,4,4,North Melbourne v Melbourne,Tom Sparrow,Melbourne,North Melbourne,Away,3.0,2.817
Round 20,20,2,3,Melbourne v Geelong,Tom Sparrow,Melbourne,Geelong,Home,0.5,0.365
Round 21,21,8,8,Gold Coast v Melbourne,Tom Sparrow,Melbourne,Gold Coast,Away,2.0,1.93
Round 22,22,3,3,Melbourne v Fremantle,Tom Sparrow,Melbourne,Fremantle,Home,2.0,1.93
Round 4,4,1,1,Brisbane v Collingwood,Zac Bailey,Brisbane,Collingwood,Home,2.0,1.932
Round 5,5,3,3,North Melbourne v Brisbane,Zac Bailey,Brisbane,North Melbourne,Away,1.0,0.934
Round 7,7,8,8,Brisbane v Adelaide,Zac Bailey,Brisbane,Adelaide,Home,3.0,2.806
Round 8,8,4,4,Essendon v Brisbane,Zac Bailey,Brisbane,Essendon,Away,2.0,1.932
Round 12,12,4,4,Brisbane v Fremantle,Zac Bailey,Brisbane,Fremantle,Home,1.0,0.934
Round 14,14,6,6,Richmond v Brisbane,Zac Bailey,Brisbane,Richmond,Away,1.0,0.934
Round 16,16,1,1,Brisbane v Sydney,Zac Bailey,Brisbane,Sydney,Home,0.5,0.388
Round 17,17,1,1,Geelong v Brisbane,Zac Bailey,Brisbane,Geelong,Away,1.0,0.934
Round 18,18,9,9,Brisbane v Essendon,Zac Bailey,Brisbane,Essendon,Home,1.0,0.934
Round 20,20,8,8,Brisbane v Port Adelaide,Zac Bailey,Brisbane,Port Adelaide,Home,3.0,2.806
Round 23,23,4,4,Brisbane v Gold Coast,Zac Bailey,Brisbane,Gold Coast,Home,2.0,1.932
Round 4,4,1,1,Brisbane v Collingwood,Logan Morris,Brisbane,Collingwood,Home,1.0,0.932
Round 13,13,4,4,Gold Coast v Brisbane,Logan Morris,Brisbane,Gold Coast,Away,3.0,2.86
Round 22,22,2,2,Brisbane v Hawthorn,Logan Morris,Brisbane,Hawthorn,Home,0.5,0.371
Round 24,24,2,2,Collingwood v Brisbane,Logan Morris,Brisbane,Collingwood,Away,3.0,2.86
Round 4,4,2,2,North Melbourne v Carlton,Caleb Daniel,North Melbourne,Carlton,Home,3.0,2.856
Round 15,15,6,6,Richmond v North Melbourne,Caleb Daniel,North Melbourne,Richmond,Away,3.0,2.856
Round 16,16,6,7,North Melbourne v Essendon,Caleb Daniel,North Melbourne,Essendon,Home,1.0,0.931
Round 4,4,2,2,North Melbourne v Carlton,Cooper Trembath,North Melbourne,Carlton,Home,0.5,0.362
Round 15,15,6,6,Richmond v North Melbourne,Cooper Trembath,North Melbourne,Richmond,Away,2.0,1.916
Round 4,4,3,3,Adelaide v Fremantle,James Peatling,Adelaide,Fremantle,Home,1.0,0.863
Round 6,6,6,6,Adelaide v St Kilda,James Peatling,Adelaide,St Kilda,Home,1.0,0.863
Round 10,10,4,4,Adelaide v North Melbourne,James Peatling,Adelaide,North Melbourne,Home,1.0,0.863
Round 4,4,4,4,Richmond v Port Adelaide,Darcy Byrne-Jones,Port Adelaide,Richmond,Away,0.5,0.382
Round 15,15,5,5,Collingwood v Port Adelaide,Darcy Byrne-Jones,Port Adelaide,Collingwood,Away,0.5,0.382
Round 4,4,5,5,West Coast v Sydney,Brodie Grundy,Sydney,West Coast,Away,2.0,1.861
Round 5,5,5,5,Sydney v Gold Coast,Brodie Grundy,Sydney,Gold Coast,Home,1.0,0.855
Round 6,6,3,3,Sydney v Greater Western Sydney,Brodie Grundy,Sydney,Greater Western Sydney,Home,0.5,0.305
Round 7,7,1,1,Western Bulldogs v Sydney,Brodie Grundy,Sydney,Western Bulldogs,Away,1.0,0.855
Round 8,8,8,8,Sydney v Melbourne,Brodie Grundy,Sydney,Melbourne,Home,3.0,2.742
Round 10,10,2,2,Sydney v Collingwood,Brodie Grundy,Sydney,Collingwood,Home,3.0,2.742
Round 17,17,2,3,Sydney v Western Bulldogs,Brodie Grundy,Sydney,Western Bulldogs,Home,2.0,1.861
Round 20,20,6,6,Greater Western Sydney v Sydney,Brodie Grundy,Sydney,Greater Western Sydney,Away,1.0,0.855
Round 24,24,8,8,Sydney v North Melbourne,Brodie Grundy,Sydney,North Melbourne,Home,2.0,1.861
Round 4,4,5,5,West Coast v Sydney,Tom Papley,Sydney,West Coast,Away,1.0,0.879
Round 5,5,5,5,Sydney v Gold Coast,Tom Papley,Sydney,Gold Coast,Home,0.5,0.35
Round 19,19,2,2,Sydney v Adelaide,Tom Papley,Sydney,Adelaide,Home,1.0,0.879
Round 4,4,5,5,West Coast v Sydney,Jai Serong,Sydney,West Coast,Away,0.5,0.36
Round 13,13,6,6,Sydney v St Kilda,Jai Serong,Sydney,St Kilda,Home,0.5,0.36
Round 22,22,4,4,Sydney v Port Adelaide,Jai Serong,Sydney,Port Adelaide,Home,1.0,0.906
Round 4,4,7,7,Western Bulldogs v Essendon,Matthew Kennedy,Western Bulldogs,Essendon,Home,2.0,1.929
Round 15,15,7,7,St Kilda v Western Bulldogs,Matthew Kennedy,Western Bulldogs,St Kilda,Away,0.5,0.365
Round 24,24,4,4,Melbourne v Western Bulldogs,Matthew Kennedy,Western Bulldogs,Melbourne,Away,0.5,0.365
Round 4,4,7,7,Western Bulldogs v Essendon,Ryley Sanders,Western Bulldogs,Essendon,Home,1.0,0.89
Round 9,9,3,3,Port Adelaide v Western Bulldogs,Ryley Sanders,Western Bulldogs,Port Adelaide,Away,2.0,1.871
Round 11,11,9,9,Western Bulldogs v Melbourne,Ryley Sanders,Western Bulldogs,Melbourne,Home,1.0,0.89
Round 12,12,5,5,Western Bulldogs v Collingwood,Ryley Sanders,Western Bulldogs,Collingwood,Home,0.5,0.354
Round 4,4,7,7,Western Bulldogs v Essendon,Archie Roberts,Essendon,Western Bulldogs,Away,0.5,0.369
Round 5,5,4,4,Essendon v Melbourne,Archie Roberts,Essendon,Melbourne,Home,3.0,2.847
Round 9,9,5,5,Greater Western Sydney v Essendon,Archie Roberts,Essendon,Greater Western Sydney,Away,2.0,1.951
Round 4,4,8,8,Hawthorn v Geelong,Josh Ward,Hawthorn,Geelong,Home,3.0,2.896
Round 20,20,5,5,Hawthorn v Essendon,Josh Ward,Hawthorn,Essendon,Home,0.5,0.375
Round 4,4,8,8,Hawthorn v Geelong,Jack Ginnivan,Hawthorn,Geelong,Home,0.5,0.365
Round 5,5,6,6,Hawthorn v Western Bulldogs,Jack Ginnivan,Hawthorn,Western Bulldogs,Home,2.0,1.93
Round 16,16,2,2,Hawthorn v Greater Western Sydney,Jack Ginnivan,Hawthorn,Greater Western Sydney,Home,1.0,0.918
Round 18,18,5,5,Carlton v Hawthorn,Jack Ginnivan,Hawthorn,Carlton,Away,3.0,2.817
Round 5,5,1,1,Adelaide v Carlton,Izak Rankine,Adelaide,Carlton,Home,2.0,2.078
Round 9,9,9,9,Richmond v Adelaide,Izak Rankine,Adelaide,Richmond,Away,3.0,2.984
Round 10,10,4,4,Adelaide v North Melbourne,Izak Rankine,Adelaide,North Melbourne,Home,3.0,2.984
Round 17,17,3,2,West Coast v Adelaide,Izak Rankine,Adelaide,West Coast,Away,2.0,2.078
Round 18,18,6,6,Adelaide v Gold Coast,Izak Rankine,Adelaide,Gold Coast,Home,3.0,2.984
Round 19,19,2,2,Sydney v Adelaide,Izak Rankine,Adelaide,Sydney,Away,0.5,0.48
Round 21,21,9,9,Essendon v Adelaide,Izak Rankine,Adelaide,Essendon,Away,2.0,2.078
Round 22,22,6,6,Adelaide v Richmond,Izak Rankine,Adelaide,Richmond,Home,3.0,2.984
Round 23,23,1,1,Fremantle v Adelaide,Izak Rankine,Adelaide,Fremantle,Away,2.0,2.078
Round 24,24,6,5,Adelaide v Greater Western Sydney,Izak Rankine,Adelaide,Greater Western Sydney,Home,3.0,2.984
Round 5,5,1,1,Adelaide v Carlton,Sam Berry,Adelaide,Carlton,Home,1.0,0.905
Round 8,8,3,3,Adelaide v Port Adelaide,Sam Berry,Adelaide,Port Adelaide,Home,3.0,2.777
Round 14,14,1,1,Western Bulldogs v Adelaide,Sam Berry,Adelaide,Western Bulldogs,Away,2.0,1.903
Round 18,18,6,6,Adelaide v Gold Coast,Sam Berry,Adelaide,Gold Coast,Home,1.0,0.905
Round 20,20,1,1,Adelaide v Collingwood,Sam Berry,Adelaide,Collingwood,Home,0.5,0.36
Round 22,22,6,6,Adelaide v Richmond,Sam Berry,Adelaide,Richmond,Home,1.0,0.905
Round 5,5,2,2,Collingwood v Fremantle,Luke Ryan,Fremantle,Collingwood,Away,2.0,1.896
Round 5,5,2,2,Collingwood v Fremantle,Jack Crisp,Collingwood,Fremantle,Home,0.5,0.382
Round 7,7,4,4,Essendon v Collingwood,Jack Crisp,Collingwood,Essendon,Away,0.5,0.382
Round 5,5,3,3,North Melbourne v Brisbane,Jy Simpkin,North Melbourne,Brisbane,Home,0.5,0.365
Round 11,11,4,4,North Melbourne v Gold Coast,Jy Simpkin,North Melbourne,Gold Coast,Home,2.0,1.929
Round 24,24,8,8,Sydney v North Melbourne,Jy Simpkin,North Melbourne,Sydney,Away,0.5,0.365
Round 5,5,4,4,Essendon v Melbourne,Zach Merrett,Essendon,Melbourne,Home,2.0,1.93
Round 6,6,4,4,Gold Coast v Essendon,Zach Merrett,Essendon,Gold Coast,Away,1.0,0.918
Round 19,19,9,9,Essendon v Greater Western Sydney,Zach Merrett,Essendon,Greater Western Sydney,Home,3.0,2.817
Round 24,24,7,7,Essendon v Port Adelaide,Zach Merrett,Essendon,Port Adelaide,Home,0.5,0.365
Round 5,5,4,4,Essendon v Melbourne,Darcy Parish,Essendon,Melbourne,Home,1.0,0.889
Round 11,11,2,3,Richmond v Essendon,Darcy Parish,Essendon,Richmond,Away,2.0,1.87
Round 5,5,6,6,Hawthorn v Western Bulldogs,Blake Hardwick,Hawthorn,Western Bulldogs,Home,1.0,0.911
Round 11,11,1,1,Hawthorn v Adelaide,Blake Hardwick,Hawthorn,Adelaide,Home,3.0,2.794
Round 18,18,5,5,Carlton v Hawthorn,Blake Hardwick,Hawthorn,Carlton,Away,1.0,0.911
Round 5,5,7,7,Geelong v West Coast,Tanner Bruhn,Geelong,West Coast,Home,1.0,0.863
Round 5,5,7,7,Geelong v West Coast,Tom Atkins,Geelong,West Coast,Home,0.5,0.382
Round 5,5,8,8,Greater Western Sydney v Richmond,Toby Greene,Greater Western Sydney,Richmond,Home,1.0,0.91
Round 7,7,9,9,Greater Western Sydney v North Melbourne,Toby Greene,Greater Western Sydney,North Melbourne,Home,3.0,2.791
Round 9,9,5,5,Greater Western Sydney v Essendon,Toby Greene,Greater Western Sydney,Essendon,Home,1.0,0.91
Round 11,11,8,8,Greater Western Sydney v Brisbane,Toby Greene,Greater Western Sydney,Brisbane,Home,2.0,1.912
Round 12,12,6,6,Melbourne v Greater Western Sydney,Toby Greene,Greater Western Sydney,Melbourne,Away,2.0,1.912
Round 15,15,4,4,Greater Western Sydney v Carlton,Toby Greene,Greater Western Sydney,Carlton,Home,0.5,0.362
Round 17,17,5,5,Greater Western Sydney v Fremantle,Toby Greene,Greater Western Sydney,Fremantle,Home,3.0,2.791
Round 18,18,4,4,Greater Western Sydney v Geelong,Toby Greene,Greater Western Sydney,Geelong,Home,1.0,0.91
Round 23,23,7,7,Greater Western Sydney v West Coast,Toby Greene,Greater Western Sydney,West Coast,Home,1.0,0.91
Round 5,5,9,9,Port Adelaide v St Kilda,Hugo Garcia,St Kilda,Port Adelaide,Away,0.5,0.366
Round 7,7,7,7,St Kilda v West Coast,Hugo Garcia,St Kilda,West Coast,Home,2.0,1.935
Round 10,10,8,8,St Kilda v Richmond,Hugo Garcia,St Kilda,Richmond,Home,3.0,2.824
Round 15,15,7,7,St Kilda v Western Bulldogs,Hugo Garcia,St Kilda,Western Bulldogs,Home,1.0,0.92
Round 23,23,2,2,Richmond v St Kilda,Hugo Garcia,St Kilda,Richmond,Away,0.5,0.366
Round 6,6,1,1,Carlton v Collingwood,Patrick Lipinski,Collingwood,Carlton,Away,2.0,1.896
Round 6,6,1,1,Carlton v Collingwood,Harry Perryman,Collingwood,Carlton,Away,1.0,0.863
Round 6,6,2,2,Geelong v Western Bulldogs,Oliver Dempsey,Geelong,Western Bulldogs,Home,1.0,0.908
Round 21,21,1,1,Collingwood v Geelong,Oliver Dempsey,Geelong,Collingwood,Away,3.0,2.786
Round 22,22,5,5,Geelong v Essendon,Oliver Dempsey,Geelong,Essendon,Home,2.0,1.909
Round 24,24,5,6,Geelong v Richmond,Oliver Dempsey,Geelong,Richmond,Home,1.0,0.908
Round 6,6,2,2,Geelong v Western Bulldogs,Lawson Humphries,Geelong,Western Bulldogs,Home,0.5,0.375
Round 11,11,5,5,Geelong v Sydney,Lawson Humphries,Geelong,Sydney,Home,3.0,2.896
Round 6,6,4,4,Gold Coast v Essendon,Matt Rowell,Gold Coast,Essendon,Home,2.0,2.002
Round 11,11,4,4,North Melbourne v Gold Coast,Matt Rowell,Gold Coast,North Melbourne,Away,1.0,0.997
Round 14,14,2,2,Geelong v Gold Coast,Matt Rowell,Gold Coast,Geelong,Away,0.5,0.449
Round 19,19,8,8,Gold Coast v Western Bulldogs,Matt Rowell,Gold Coast,Western Bulldogs,Home,0.5,0.449
Round 21,21,8,8,Gold Coast v Melbourne,Matt Rowell,Gold Coast,Melbourne,Home,1.0,0.997
Round 22,22,7,7,Greater Western Sydney v Gold Coast,Matt Rowell,Gold Coast,Greater Western Sydney,Away,3.0,2.882
Round 6,6,5,5,Hawthorn v Port Adelaide,Jarman Impey,Hawthorn,Port Adelaide,Home,0.5,0.366
Round 7,7,3,3,Hawthorn v Gold Coast,Jarman Impey,Hawthorn,Gold Coast,Home,1.0,0.921
Round 11,11,1,1,Hawthorn v Adelaide,Jarman Impey,Hawthorn,Adelaide,Home,2.0,1.937
Round 19,19,7,7,Richmond v Hawthorn,Jarman Impey,Hawthorn,Richmond,Away,3.0,2.827
Round 20,20,5,5,Hawthorn v Essendon,Jarman Impey,Hawthorn,Essendon,Home,3.0,2.827
Round 21,21,4,4,Hawthorn v North Melbourne,Jarman Impey,Hawthorn,North Melbourne,Home,2.0,1.937
Round 6,6,6,6,Adelaide v St Kilda,Taylor Walker,Adelaide,St Kilda,Home,3.0,2.896
Round 18,18,6,6,Adelaide v Gold Coast,Taylor Walker,Adelaide,Gold Coast,Home,0.5,0.375
Round 6,6,7,7,North Melbourne v Richmond,Paul Curtis,North Melbourne,Richmond,Home,2.0,1.896
Round 22,22,1,1,Western Bulldogs v North Melbourne,Paul Curtis,North Melbourne,Western Bulldogs,Away,2.0,1.896
Round 6,6,8,9,Melbourne v Brisbane,Harvey Langford,Melbourne,Brisbane,Home,3.0,2.83
Round 13,13,8,8,Collingwood v Melbourne,Harvey Langford,Melbourne,Collingwood,Away,1.0,0.922
Round 6,6,8,9,Melbourne v Brisbane,Kade Chandler,Melbourne,Brisbane,Home,0.5,0.377
Round 9,9,8,8,Melbourne v West Coast,Kade Chandler,Melbourne,West Coast,Home,0.5,0.377
Round 10,10,5,5,Melbourne v Hawthorn,Kade Chandler,Melbourne,Hawthorn,Home,0.5,0.377
Round 15,15,3,3,Adelaide v Melbourne,Kade Chandler,Melbourne,Adelaide,Away,0.5,0.377
Round 23,23,6,6,Port Adelaide v Melbourne,Kade Chandler,Melbourne,Port Adelaide,Away,3.0,2.907
Round 6,6,9,8,West Coast v Fremantle,Jordan Clark,Fremantle,West Coast,Away,3.0,2.889
Round 6,6,9,8,West Coast v Fremantle,Jye Amiss,Fremantle,West Coast,Away,1.0,0.914
Round 12,12,4,4,Brisbane v Fremantle,Jye Amiss,Fremantle,Brisbane,Away,2.0,1.922
Round 19,19,3,3,Port Adelaide v Fremantle,Jye Amiss,Fremantle,Port Adelaide,Away,2.0,1.922
Round 20,20,3,2,Fremantle v West Coast,Jye Amiss,Fremantle,West Coast,Home,3.0,2.805
Round 22,22,3,3,Melbourne v Fremantle,Jye Amiss,Fremantle,Melbourne,Away,0.5,0.364
Round 7,7,1,1,Western Bulldogs v Sydney,Charlie Curnow,Sydney,Western Bulldogs,Away,3.0,2.817
Round 12,12,3,3,Sydney v Richmond,Charlie Curnow,Sydney,Richmond,Home,2.0,1.93
Round 17,17,2,3,Sydney v Western Bulldogs,Charlie Curnow,Sydney,Western Bulldogs,Home,3.0,2.817
Round 18,18,1,1,Fremantle v Sydney,Charlie Curnow,Sydney,Fremantle,Away,1.0,0.918
Round 24,24,8,8,Sydney v North Melbourne,Charlie Curnow,Sydney,North Melbourne,Home,1.0,0.918
Round 7,7,2,2,Richmond v Melbourne,Caleb Windsor,Melbourne,Richmond,Away,1.0,0.863
Round 7,7,4,4,Essendon v Collingwood,Scott Pendlebury,Collingwood,Essendon,Away,3.0,2.83
Round 20,20,1,1,Adelaide v Collingwood,Scott Pendlebury,Collingwood,Adelaide,Away,1.0,0.922
Round 7,7,5,5,Port Adelaide v Geelong,Mitch Georgiades,Port Adelaide,Geelong,Home,2.0,1.887
Round 16,16,5,5,Port Adelaide v Adelaide,Mitch Georgiades,Port Adelaide,Adelaide,Home,0.5,0.357
Round 24,24,7,7,Essendon v Port Adelaide,Mitch Georgiades,Port Adelaide,Essendon,Away,1.0,0.897
Round 7,7,5,5,Port Adelaide v Geelong,Ollie Wines,Port Adelaide,Geelong,Home,1.0,0.863
Round 7,7,5,5,Port Adelaide v Geelong,Jordon Sweet,Port Adelaide,Geelong,Home,0.5,0.382
Round 13,13,5,5,West Coast v Port Adelaide,Jordon Sweet,Port Adelaide,West Coast,Away,0.5,0.382
Round 7,7,7,7,St Kilda v West Coast,Jack Higgins,St Kilda,West Coast,Home,1.0,0.863
Round 7,7,7,7,St Kilda v West Coast,Marcus Windhager,St Kilda,West Coast,Home,0.5,0.382
Round 7,7,8,8,Brisbane v Adelaide,Charlie Cameron,Brisbane,Adelaide,Home,0.5,0.382
Round 8,8,1,1,Collingwood v Hawthorn,Dan Houston,Collingwood,Hawthorn,Home,0.5,0.362
Round 19,19,5,6,Collingwood v Carlton,Dan Houston,Collingwood,Carlton,Home,2.0,1.916
Round 8,8,2,2,Western Bulldogs v Fremantle,Hayden Young,Fremantle,Western Bulldogs,Away,1.0,0.891
Round 13,13,3,3,North Melbourne v Fremantle,Hayden Young,Fremantle,North Melbourne,Away,0.5,0.354
Round 8,8,4,4,Essendon v Brisbane,Darcy Wilmot,Brisbane,Essendon,Away,3.0,2.808
Round 13,13,4,4,Gold Coast v Brisbane,Darcy Wilmot,Brisbane,Gold Coast,Away,1.0,0.915
Round 20,20,9,8,Brisbane v Port Adelaide,Darcy Wilmot,Brisbane,Port Adelaide,Home,2.0,1.924
Round 8,8,4,4,Essendon v Brisbane,Hugh McCluggage,Brisbane,Essendon,Away,1.0,0.879
Round 9,9,2,2,Brisbane v Carlton,Hugh McCluggage,Brisbane,Carlton,Home,0.5,0.35
Round 20,20,8,8,Brisbane v Port Adelaide,Hugh McCluggage,Brisbane,Port Adelaide,Home,1.0,0.879
Round 8,8,5,5,West Coast v Richmond,Noah Balta,Richmond,West Coast,Away,3.0,2.889
Round 8,8,5,5,West Coast v Richmond,Jack Ross,Richmond,West Coast,Away,1.0,0.879
Round 21,21,7,7,Richmond v West Coast,Jack Ross,Richmond,West Coast,Home,1.0,0.879
Round 22,22,6,6,Adelaide v Richmond,Jack Ross,Richmond,Adelaide,Away,0.5,0.35
Round 8,8,5,5,West Coast v Richmond,Kane McAuliffe,Richmond,West Coast,Away,0.5,0.382
Round 8,8,6,6,Geelong v North Melbourne,Shaun Mannagh,Geelong,North Melbourne,Home,1.0,0.91
Round 10,10,1,1,Brisbane v Geelong,Shaun Mannagh,Geelong,Brisbane,Away,3.0,2.792
Round 18,18,4,4,Greater Western Sydney v Geelong,Shaun Mannagh,Geelong,Greater Western Sydney,Away,2.0,1.913
Round 23,23,3,3,North Melbourne v Geelong,Shaun Mannagh,Geelong,North Melbourne,Away,2.0,1.913
Round 24,24,5,6,Geelong v Richmond,Shaun Mannagh,Geelong,Richmond,Home,2.0,1.913
Round 8,8,7,7,Carlton v St Kilda,Rowan Marshall,St Kilda,Carlton,Away,2.0,1.89
Round 17,17,8,8,Essendon v St Kilda,Rowan Marshall,St Kilda,Essendon,Away,0.5,0.358
Round 18,18,3,3,St Kilda v Port Adelaide,Rowan Marshall,St Kilda,Port Adelaide,Home,1.0,0.899
Round 19,19,1,1,Geelong v St Kilda,Rowan Marshall,St Kilda,Geelong,Away,2.0,1.89
Round 8,8,7,7,Carlton v St Kilda,Mitch Owens,St Kilda,Carlton,Away,0.5,0.362
Round 23,23,2,2,Richmond v St Kilda,Mitch Owens,St Kilda,Richmond,Away,2.0,1.916
Round 8,8,8,8,Sydney v Melbourne,Malcolm Rosas,Sydney,Melbourne,Home,2.0,1.896
Round 8,8,9,9,Gold Coast v Greater Western Sydney,Mac Andrew,Gold Coast,Greater Western Sydney,Home,0.5,0.382
Round 9,9,1,1,Fremantle v Hawthorn,Michael Frederick,Fremantle,Hawthorn,Home,1.0,0.889
Round 16,16,7,6,Fremantle v Gold Coast,Michael Frederick,Fremantle,Gold Coast,Home,2.0,1.87
Round 9,9,5,5,Greater Western Sydney v Essendon,Lachie Whitfield,Greater Western Sydney,Essendon,Home,3.0,2.858
Round 21,21,5,5,Port Adelaide v Greater Western Sydney,Lachie Whitfield,Greater Western Sydney,Port Adelaide,Away,3.0,2.858
Round 23,23,7,7,Greater Western Sydney v West Coast,Lachie Whitfield,Greater Western Sydney,West Coast,Home,2.0,1.958
Round 9,9,6,6,Gold Coast v St Kilda,Daniel Rioli,Gold Coast,St Kilda,Home,2.0,1.896
Round 9,9,7,7,Geelong v Collingwood,Oisin Mullin,Geelong,Collingwood,Home,1.0,0.891
Round 10,10,1,1,Brisbane v Geelong,Oisin Mullin,Geelong,Brisbane,Away,0.5,0.354
Round 9,9,8,8,Melbourne v West Coast,Ed Langdon,Melbourne,West Coast,Home,3.0,2.83
Round 14,14,3,3,Melbourne v Essendon,Ed Langdon,Melbourne,Essendon,Home,1.0,0.922
Round 9,9,9,9,Richmond v Adelaide,Rory Laird,Adelaide,Richmond,Away,0.5,0.36
Round 14,14,1,1,Western Bulldogs v Adelaide,Rory Laird,Adelaide,Western Bulldogs,Away,1.0,0.906
Round 17,17,3,2,West Coast v Adelaide,Rory Laird,Adelaide,West Coast,Away,0.5,0.36
Round 10,10,1,1,Brisbane v Geelong,Tom Stewart,Geelong,Brisbane,Away,1.0,0.863
Round 10,10,5,5,Melbourne v Hawthorn,Daniel Turner,Melbourne,Hawthorn,Home,1.0,0.863
Round 10,10,6,6,Carlton v Western Bulldogs,Oliver Florent,Carlton,Western Bulldogs,Home,2.0,1.896
Round 10,10,6,6,Carlton v Western Bulldogs,Matthew Carroll,Carlton,Western Bulldogs,Home,1.0,0.863
Round 10,10,7,7,Essendon v Fremantle,Patrick Voss,Fremantle,Essendon,Away,1.0,0.879
Round 12,12,4,4,Brisbane v Fremantle,Patrick Voss,Fremantle,Brisbane,Away,0.5,0.35
Round 13,13,3,3,North Melbourne v Fremantle,Patrick Voss,Fremantle,North Melbourne,Away,1.0,0.879
Round 10,10,8,8,St Kilda v Richmond,Sam Flanders,St Kilda,Richmond,Home,1.0,0.863
Round 10,10,9,9,West Coast v Greater Western Sydney,Bailey J. Williams,West Coast,Greater Western Sydney,Home,2.0,1.87
Round 11,11,6,6,Collingwood v West Coast,Bailey J. Williams,West Coast,Collingwood,Away,1.0,0.889
Round 11,11,2,3,Richmond v Essendon,Patrick Retschko,Richmond,Essendon,Home,1.0,0.863
Round 11,11,6,6,Collingwood v West Coast,Darcy Cameron,Collingwood,West Coast,Home,2.0,1.903
Round 18,18,2,2,Collingwood v North Melbourne,Darcy Cameron,Collingwood,North Melbourne,Home,2.0,1.903
Round 19,19,5,6,Collingwood v Carlton,Darcy Cameron,Collingwood,Carlton,Home,0.5,0.36
Round 20,20,1,1,Adelaide v Collingwood,Darcy Cameron,Collingwood,Adelaide,Away,2.0,1.903
Round 11,11,7,7,Port Adelaide v Carlton,Will Hayward,Carlton,Port Adelaide,Away,2.0,1.896
Round 11,11,8,8,Greater Western Sydney v Brisbane,Phoenix Gothard,Greater Western Sydney,Brisbane,Home,1.0,0.863
Round 11,11,8,8,Greater Western Sydney v Brisbane,Brent Daniels,Greater Western Sydney,Brisbane,Home,0.5,0.354
Round 14,14,7,7,St Kilda v Greater Western Sydney,Brent Daniels,Greater Western Sydney,St Kilda,Away,1.0,0.891
Round 11,11,9,9,Western Bulldogs v Melbourne,Bailey Dale,Western Bulldogs,Melbourne,Home,0.5,0.36
Round 13,13,2,2,Hawthorn v Western Bulldogs,Bailey Dale,Western Bulldogs,Hawthorn,Away,1.0,0.906
Round 17,17,2,3,Sydney v Western Bulldogs,Bailey Dale,Western Bulldogs,Sydney,Away,0.5,0.36
Round 12,12,1,1,St Kilda v Hawthorn,Cam Mackenzie,Hawthorn,St Kilda,Away,1.0,0.889
Round 16,16,2,2,Hawthorn v Greater Western Sydney,Cam Mackenzie,Hawthorn,Greater Western Sydney,Home,2.0,1.87
Round 12,12,3,3,Sydney v Richmond,Peter Ladhams,Sydney,Richmond,Home,0.5,0.382
Round 12,12,6,6,Melbourne v Greater Western Sydney,Harvey Thomas,Greater Western Sydney,Melbourne,Away,1.0,0.891
Round 23,23,7,7,Greater Western Sydney v West Coast,Harvey Thomas,Greater Western Sydney,West Coast,Home,0.5,0.354
Round 12,12,7,7,West Coast v Essendon,Reuben Ginbey,West Coast,Essendon,Home,3.0,2.889
Round 12,12,7,7,West Coast v Essendon,Willem Duursma,West Coast,Essendon,Home,1.0,0.863
Round 12,12,7,7,West Coast v Essendon,Milan Murdock,West Coast,Essendon,Home,0.5,0.382
Round 13,13,1,1,Adelaide v Geelong,Patrick Dangerfield,Geelong,Adelaide,Away,2.0,1.896
Round 17,17,1,1,Geelong v Brisbane,Patrick Dangerfield,Geelong,Brisbane,Home,2.0,1.896
Round 13,13,1,1,Adelaide v Geelong,Daniel Curtin,Adelaide,Geelong,Home,1.0,0.863
Round 13,13,1,1,Adelaide v Geelong,Sam De Koning,Geelong,Adelaide,Away,0.5,0.382
Round 13,13,2,2,Hawthorn v Western Bulldogs,Will Day,Hawthorn,Western Bulldogs,Home,0.5,0.376
Round 18,18,5,5,Carlton v Hawthorn,Will Day,Hawthorn,Carlton,Away,0.5,0.376
Round 24,24,9,9,West Coast v Hawthorn,Will Day,Hawthorn,West Coast,Away,3.0,2.9
Round 13,13,4,4,Gold Coast v Brisbane,Josh Dunkley,Brisbane,Gold Coast,Away,0.5,0.358
