round,roundNumber,game,fixtureGame,matchup,player,team,opponent,homeAway,human_vote,modelEV
Round 7,7,6,6,Fremantle v Carlton,Patrick Cripps,Carlton,Fremantle,Away,0.5,0.428
Round 9,9,2,2,Brisbane v Carlton,Patrick Cripps,Carlton,Brisbane,Away,2.0,2.035
Round 10,10,6,6,Carlton v Western Bulldogs,Patrick Cripps,Carlton,Western Bulldogs,Home,3.0,2.945
Round 11,11,7,7,Port Adelaide v Carlton,Patrick Cripps,Carlton,Port Adelaide,Away,3.0,2.945
Round 12,12,2,2,Carlton v Geelong,Patrick Cripps,Carlton,Geelong,Home,3.0,2.945
Round 15,15,4,4,Greater Western Sydney v Carlton,Patrick Cripps,Carlton,Greater Western Sydney,Away,1.0,0.996
Round 16,16,3,3,Carlton v West Coast,Patrick Cripps,Carlton,West Coast,Home,3.0,2.945
Round 19,19,5,6,Collingwood v Carlton,Patrick Cripps,Carlton,Collingwood,Away,1.0,0.996
Round 20,20,4,4,Carlton v Gold Coast,Patrick Cripps,Carlton,Gold Coast,Home,3.0,2.945
Round 23,23,8,8,Western Bulldogs v Carlton,Patrick Cripps,Carlton,Western Bulldogs,Away,2.0,2.035
Round 24,24,3,3,Carlton v Fremantle,Patrick Cripps,Carlton,Fremantle,Home,0.5,0.428
Round 1,1,1,1,Carlton v Richmond,Jagga Smith,Carlton,Richmond,Home,2.0,1.881
Round 10,10,6,6,Carlton v Western Bulldogs,Jagga Smith,Carlton,Western Bulldogs,Home,0.5,0.356
Round 11,11,7,7,Port Adelaide v Carlton,Jagga Smith,Carlton,Port Adelaide,Away,0.5,0.356
Round 12,12,2,2,Carlton v Geelong,Jagga Smith,Carlton,Geelong,Home,2.0,1.881
Round 17,17,7,7,Richmond v Carlton,Jagga Smith,Carlton,Richmond,Away,1.0,0.895
Round 20,20,4,4,Carlton v Gold Coast,Jagga Smith,Carlton,Gold Coast,Home,1.0,0.895
Round 21,21,6,6,Carlton v Brisbane,Jagga Smith,Carlton,Brisbane,Home,2.0,1.881
Round 24,24,3,3,Carlton v Fremantle,Jagga Smith,Carlton,Fremantle,Home,1.0,0.895
Round 1,1,1,1,Carlton v Richmond,Jayden Short,Richmond,Carlton,Away,0.5,0.382
Round 2,2,3,3,Richmond v Gold Coast,Jayden Short,Richmond,Gold Coast,Home,0.5,0.382
Round 11,11,2,3,Richmond v Essendon,Jayden Short,Richmond,Essendon,Home,0.5,0.382
Round 1,1,2,2,Essendon v Hawthorn,Nick Watson,Hawthorn,Essendon,Away,3.0,2.83
Round 6,6,5,5,Hawthorn v Port Adelaide,Nick Watson,Hawthorn,Port Adelaide,Home,2.0,1.939
Round 12,12,1,1,St Kilda v Hawthorn,Nick Watson,Hawthorn,St Kilda,Away,0.5,0.367
Round 19,19,7,7,Richmond v Hawthorn,Nick Watson,Hawthorn,Richmond,Away,0.5,0.367
Round 21,21,4,4,Hawthorn v North Melbourne,Nick Watson,Hawthorn,North Melbourne,Home,1.0,0.923
Round 24,24,9,9,West Coast v Hawthorn,Nick Watson,Hawthorn,West Coast,Away,0.5,0.367
Round 1,1,2,2,Essendon v Hawthorn,Connor Macdonald,Hawthorn,Essendon,Away,2.0,1.913
Round 4,4,8,8,Hawthorn v Geelong,Connor Macdonald,Hawthorn,Geelong,Home,2.0,1.913
Round 5,5,6,6,Hawthorn v Western Bulldogs,Connor Macdonald,Hawthorn,Western Bulldogs,Home,0.5,0.362
Round 7,7,3,3,Hawthorn v Gold Coast,Connor Macdonald,Hawthorn,Gold Coast,Home,2.0,1.913
Round 8,8,1,1,Collingwood v Hawthorn,Connor Macdonald,Hawthorn,Collingwood,Away,3.0,2.792
Round 12,12,1,1,St Kilda v Hawthorn,Connor Macdonald,Hawthorn,St Kilda,Away,2.0,1.913
Round 19,19,7,7,Richmond v Hawthorn,Connor Macdonald,Hawthorn,Richmond,Away,1.0,0.91
Round 1,1,2,2,Essendon v Hawthorn,Jack Gunston,Hawthorn,Essendon,Away,1.0,0.897
Round 2,2,1,1,Hawthorn v Sydney,Jack Gunston,Hawthorn,Sydney,Home,1.0,0.897
Round 7,7,3,3,Hawthorn v Gold Coast,Jack Gunston,Hawthorn,Gold Coast,Home,0.5,0.357
Round 9,9,1,1,Fremantle v Hawthorn,Jack Gunston,Hawthorn,Fremantle,Away,0.5,0.357
Round 20,20,5,5,Hawthorn v Essendon,Jack Gunston,Hawthorn,Essendon,Home,2.0,1.887
Round 24,24,9,9,West Coast v Hawthorn,Jack Gunston,Hawthorn,West Coast,Away,2.0,1.887
Round 1,1,2,2,Essendon v Hawthorn,James Sicily,Hawthorn,Essendon,Away,0.5,0.375
Round 12,12,1,1,St Kilda v Hawthorn,James Sicily,Hawthorn,St Kilda,Away,3.0,2.896
Round 1,1,3,3,Western Bulldogs v Greater Western Sydney,Aaron Naughton,Western Bulldogs,Greater Western Sydney,Home,2.0,1.87
Round 18,18,7,7,Western Bulldogs v West Coast,Aaron Naughton,Western Bulldogs,West Coast,Home,1.0,0.889
Round 1,1,3,3,Western Bulldogs v Greater Western Sydney,Tom Liberatore,Western Bulldogs,Greater Western Sydney,Home,1.0,0.891
Round 23,23,8,8,Western Bulldogs v Carlton,Tom Liberatore,Western Bulldogs,Carlton,Home,0.5,0.354
Round 1,1,3,3,Western Bulldogs v Greater Western Sydney,Sam Darcy,Western Bulldogs,Greater Western Sydney,Home,0.5,0.382
Round 1,1,4,4,Geelong v Fremantle,Max Holmes,Geelong,Fremantle,Home,3.0,2.888
Round 3,3,1,1,Geelong v Adelaide,Max Holmes,Geelong,Adelaide,Home,2.0,1.997
Round 5,5,7,7,Geelong v West Coast,Max Holmes,Geelong,West Coast,Home,2.0,1.997
Round 8,8,6,6,Geelong v North Melbourne,Max Holmes,Geelong,North Melbourne,Home,3.0,2.888
Round 9,9,7,7,Geelong v Collingwood,Max Holmes,Geelong,Collingwood,Home,2.0,1.997
Round 11,11,5,5,Geelong v Sydney,Max Holmes,Geelong,Sydney,Home,2.0,1.997
Round 14,14,2,2,Geelong v Gold Coast,Max Holmes,Geelong,Gold Coast,Home,3.0,2.888
Round 1,1,4,4,Geelong v Fremantle,Luke Jackson,Fremantle,Geelong,Away,2.0,2.011
Round 5,5,2,2,Collingwood v Fremantle,Luke Jackson,Fremantle,Collingwood,Away,3.0,2.865
Round 6,6,9,8,West Coast v Fremantle,Luke Jackson,Fremantle,West Coast,Away,0.5,0.506
Round 7,7,6,6,Fremantle v Carlton,Luke Jackson,Fremantle,Carlton,Home,2.0,2.011
Round 8,8,2,2,Western Bulldogs v Fremantle,Luke Jackson,Fremantle,Western Bulldogs,Away,3.0,2.865
Round 9,9,1,1,Fremantle v Hawthorn,Luke Jackson,Fremantle,Hawthorn,Home,3.0,2.865
Round 13,13,3,3,North Melbourne v Fremantle,Luke Jackson,Fremantle,North Melbourne,Away,3.0,2.865
Round 15,15,1,1,Fremantle v Geelong,Luke Jackson,Fremantle,Geelong,Home,3.0,2.865
Round 16,16,7,6,Fremantle v Gold Coast,Luke Jackson,Fremantle,Gold Coast,Home,0.5,0.506
Round 20,20,3,2,Fremantle v West Coast,Luke Jackson,Fremantle,West Coast,Home,0.5,0.506
Round 21,21,2,2,Fremantle v Western Bulldogs,Luke Jackson,Fremantle,Western Bulldogs,Home,0.5,0.506
Round 22,22,3,3,Melbourne v Fremantle,Luke Jackson,Fremantle,Melbourne,Away,1.0,1.038
Round 23,23,1,1,Fremantle v Adelaide,Luke Jackson,Fremantle,Adelaide,Home,1.0,1.038
Round 1,1,4,4,Geelong v Fremantle,Jeremy Cameron,Geelong,Fremantle,Home,1.0,0.914
